2024-04-08 14:33:03.180285, [Type.TEMPERATURE: 28.38459014892578 Unit.CELCIUS, Type.HUMIDITY: 16.418838500976562 Unit.HUMIDITY, Type.LUMINOSITY: 8708 Unit.LUX]
2024-04-08 14:33:04.198917, [Type.TEMPERATURE: 28.459739685058594 Unit.CELCIUS, Type.HUMIDITY: 16.430091857910156 Unit.HUMIDITY, Type.LUMINOSITY: 8745 Unit.LUX]
2024-04-08 14:33:05.180432, [Type.TEMPERATURE: 28.5125732421875 Unit.CELCIUS, Type.HUMIDITY: 16.44268035888672 Unit.HUMIDITY, Type.LUMINOSITY: 8738 Unit.LUX]
2024-04-08 14:33:06.180354, [Type.TEMPERATURE: 28.644371032714844 Unit.CELCIUS, Type.HUMIDITY: 16.528034210205078 Unit.HUMIDITY, Type.LUMINOSITY: 8775 Unit.LUX]
2024-04-08 14:33:07.181533, [Type.TEMPERATURE: 28.732872009277344 Unit.CELCIUS, Type.HUMIDITY: 16.598892211914062 Unit.HUMIDITY, Type.LUMINOSITY: 8801 Unit.LUX]
2024-04-08 14:33:08.180570, [Type.TEMPERATURE: 28.80992889404297 Unit.CELCIUS, Type.HUMIDITY: 16.61214828491211 Unit.HUMIDITY, Type.LUMINOSITY: 8980 Unit.LUX]
2024-04-08 14:33:09.180468, [Type.TEMPERATURE: 28.76148223876953 Unit.CELCIUS, Type.HUMIDITY: 16.602802276611328 Unit.HUMIDITY, Type.LUMINOSITY: 8928 Unit.LUX]
2024-04-08 14:33:10.179825, [Type.TEMPERATURE: 28.793907165527344 Unit.CELCIUS, Type.HUMIDITY: 16.641712188720703 Unit.HUMIDITY, Type.LUMINOSITY: 9009 Unit.LUX]
2024-04-08 14:33:11.180870, [Type.TEMPERATURE: 28.845977783203125 Unit.CELCIUS, Type.HUMIDITY: 16.690635681152344 Unit.HUMIDITY, Type.LUMINOSITY: 9004 Unit.LUX]
2024-04-08 14:33:12.180597, [Type.TEMPERATURE: 28.93390655517578 Unit.CELCIUS, Type.HUMIDITY: 16.810226440429688 Unit.HUMIDITY, Type.LUMINOSITY: 8983 Unit.LUX]
2024-04-08 14:33:13.183851, [Type.TEMPERATURE: 28.971099853515625 Unit.CELCIUS, Type.HUMIDITY: 16.81690216064453 Unit.HUMIDITY, Type.LUMINOSITY: 8837 Unit.LUX]
2024-04-08 14:33:14.179126, [Type.TEMPERATURE: 29.053115844726562 Unit.CELCIUS, Type.HUMIDITY: 16.844844818115234 Unit.HUMIDITY, Type.LUMINOSITY: 8865 Unit.LUX]
2024-04-08 14:33:15.179781, [Type.TEMPERATURE: 29.210853576660156 Unit.CELCIUS, Type.HUMIDITY: 16.73297882080078 Unit.HUMIDITY, Type.LUMINOSITY: 8924 Unit.LUX]
2024-04-08 14:33:16.180801, [Type.TEMPERATURE: 29.35009002685547 Unit.CELCIUS, Type.HUMIDITY: 16.79401397705078 Unit.HUMIDITY, Type.LUMINOSITY: 8940 Unit.LUX]
2024-04-08 14:33:17.181414, [Type.TEMPERATURE: 29.43572998046875 Unit.CELCIUS, Type.HUMIDITY: 16.747093200683594 Unit.HUMIDITY, Type.LUMINOSITY: 8923 Unit.LUX]
2024-04-08 14:33:18.180114, [Type.TEMPERATURE: 29.55951690673828 Unit.CELCIUS, Type.HUMIDITY: 16.73259735107422 Unit.HUMIDITY, Type.LUMINOSITY: 9026 Unit.LUX]
2024-04-08 14:33:19.179418, [Type.TEMPERATURE: 29.624366760253906 Unit.CELCIUS, Type.HUMIDITY: 16.740131378173828 Unit.HUMIDITY, Type.LUMINOSITY: 9003 Unit.LUX]
2024-04-08 14:33:20.181571, [Type.TEMPERATURE: 29.623031616210938 Unit.CELCIUS, Type.HUMIDITY: 16.756057739257812 Unit.HUMIDITY, Type.LUMINOSITY: 9086 Unit.LUX]
2024-04-08 14:33:21.180215, [Type.TEMPERATURE: 29.5928955078125 Unit.CELCIUS, Type.HUMIDITY: 16.747665405273438 Unit.HUMIDITY, Type.LUMINOSITY: 9100 Unit.LUX]
2024-04-08 14:33:22.182574, [Type.TEMPERATURE: 29.658889770507812 Unit.CELCIUS, Type.HUMIDITY: 16.69473648071289 Unit.HUMIDITY, Type.LUMINOSITY: 8997 Unit.LUX]
2024-04-08 14:33:23.181367, [Type.TEMPERATURE: 29.753494262695312 Unit.CELCIUS, Type.HUMIDITY: 16.654300689697266 Unit.HUMIDITY, Type.LUMINOSITY: 9048 Unit.LUX]
2024-04-08 14:33:24.180832, [Type.TEMPERATURE: 29.874420166015625 Unit.CELCIUS, Type.HUMIDITY: 16.606903076171875 Unit.HUMIDITY, Type.LUMINOSITY: 8974 Unit.LUX]
2024-04-08 14:33:25.192469, [Type.TEMPERATURE: 29.93011474609375 Unit.CELCIUS, Type.HUMIDITY: 16.63532257080078 Unit.HUMIDITY, Type.LUMINOSITY: 9003 Unit.LUX]
2024-04-08 14:33:26.180151, [Type.TEMPERATURE: 30.011749267578125 Unit.CELCIUS, Type.HUMIDITY: 16.520309448242188 Unit.HUMIDITY, Type.LUMINOSITY: 9008 Unit.LUX]
2024-04-08 14:33:27.180140, [Type.TEMPERATURE: 30.05390167236328 Unit.CELCIUS, Type.HUMIDITY: 16.38355255126953 Unit.HUMIDITY, Type.LUMINOSITY: 8974 Unit.LUX]
2024-04-08 14:33:28.182256, [Type.TEMPERATURE: 30.042648315429688 Unit.CELCIUS, Type.HUMIDITY: 16.25833511352539 Unit.HUMIDITY, Type.LUMINOSITY: 8943 Unit.LUX]
2024-04-08 14:33:29.180962, [Type.TEMPERATURE: 30.061721801757812 Unit.CELCIUS, Type.HUMIDITY: 16.112804412841797 Unit.HUMIDITY, Type.LUMINOSITY: 8983 Unit.LUX]
